,CO2_kg_per_Ha,Crop_Protection_Application_Doses,Soil_Organic_Matter,Yield_kg_per_Ha,N_as_Urea_kg_per_Ha,N_as_Nitrate_kg_per_Ha,N_as_Ammonium_kg_per_Ha,P_as_Phosphorus_kg_per_Ha,P_as_P2O5_kg_per_Ha,K_as_Potassium_kg_per_Ha,K_as_K2O_kg_per_Ha
149,816.63,13.0,2.5,3638.769230769231,92.0,0.0,24.2,0.0,114.4,0.0,0.0
150,-228.0,13.0,2.5,5611.589743589743,64.4,0.0,21.0,0.0,0.0,0.0,0.0
151,-493.5,16.0,2.5,3926.5,0.0,108.8,0.0,110.4,0.0,85.2,0.0
152,811.5,11.0,2.5,7088.0,92.0,18.0,0.0,108.0,0.0,54.0,96.0
153,783.94,10.0,2.5,6863.368421052632,184.0,18.0,0.0,108.0,0.0,54.0,96.0
154,876.91,15.0,2.5,12122.0,161.0,24.0,0.55,120.0,2.6,0.0,139.8
155,557.01,15.0,2.5,2010.1333333333332,161.0,24.0,0.55,120.0,2.6,0.0,139.8
156,-289.27,14.0,2.5,6679.384615384615,0.0,90.0,25.3,0.0,119.6,0.0,120.0
157,271.42,13.0,2.5,7030.571428571428,138.0,0.0,0.0,0.0,0.0,0.0,0.0
158,243.16,12.0,2.5,6781.041666666667,138.0,0.0,0.0,0.0,0.0,0.0,0.0
159,371.45,18.0,2.5,6947.452830188679,138.0,0.0,0.0,0.0,0.0,0.0,0.0
160,876.85,16.0,2.5,6234.054054054054,92.0,15.0,0.0,111.0,0.0,0.0,132.0
161,864.07,13.0,2.5,7783.466666666666,92.0,15.0,0.0,111.0,0.0,0.0,132.0
162,932.34,19.0,2.5,6045.238095238095,92.0,15.0,0.0,111.0,0.0,0.0,132.0
163,2098.82,22.0,2.5,6463.9,92.0,0.0,16.5,0.0,78.0,0.0,108.0
164,1013.55,22.0,2.5,7839.1,92.0,10.0,0.0,70.0,0.0,20.0,108.0
165,1099.29,17.0,2.5,6208.125,207.0,10.0,0.33,70.0,1.56,20.0,108.0
166,874.87,21.0,2.5,11079.56043956044,161.0,10.0,0.0,70.0,0.0,20.0,108.0
167,1025.8,16.0,2.5,7862.777777777777,92.0,36.0,0.0,108.0,0.0,54.0,96.0
168,1027.58,17.0,2.5,7277.407407407408,92.0,36.0,0.0,108.0,0.0,54.0,96.0
169,1002.87,17.0,2.5,6498.360655737705,92.0,36.0,0.0,108.0,0.0,54.0,96.0
170,-704.43,15.0,2.5,3659.020979020979,0.0,0.0,16.5,0.0,78.0,0.0,108.0
171,792.55,12.0,2.5,5920.865994774169,92.0,15.0,0.33,111.0,1.56,0.0,120.0
172,829.63,15.0,2.5,5585.280080381814,184.0,14.0,0.275,103.6,1.3,0.0,60.0
173,890.6,16.0,2.5,6939.067378386544,184.0,14.0,0.275,103.6,1.3,0.0,60.0
174,969.56,20.0,2.5,6337.936154417224,92.0,15.5,0.33,114.7,1.56,0.0,120.0
175,899.78,16.0,2.5,6838.920900995286,92.0,15.5,0.605,114.7,2.8600000000000003,0.0,120.0
176,932.07,18.0,2.5,6835.833333333333,184.0,14.0,0.33,103.6,1.56,0.0,120.0
177,703.84,14.0,2.5,4542.794117647059,161.0,0.0,25.3,0.0,119.6,0.0,132.0
178,581.43,11.0,2.5,4341.0,161.0,0.0,25.3,0.0,119.6,0.0,0.0
179,1217.99,23.0,2.5,7416.722222222223,92.0,0.0,28.1,0.0,83.2,0.0,100.2
180,1109.08,21.0,2.5,4730.902377105931,92.0,0.0,27.5,0.0,130.0,0.0,150.0
181,1098.14,21.0,2.5,4390.595009596929,138.0,0.0,27.5,0.0,130.0,0.0,150.0
182,1194.88,21.0,2.5,7440.571428571428,92.0,0.0,27.5,0.0,130.0,0.0,150.0
183,1192.08,22.0,2.5,6708.032128514056,92.0,0.0,27.5,0.0,130.0,0.0,150.0
184,1950.48,8.0,2.5,9276.57142857143,276.0,0.0,21.12,0.0,99.84,0.0,97.2
185,1935.19,8.0,2.5,8748.695652173914,276.0,0.0,21.23,0.0,100.36,0.0,97.2
186,2039.91,13.0,2.5,8759.0,276.0,0.0,21.01,0.0,99.32,0.0,108.0
187,2001.49,13.0,2.5,7341.111111111111,276.0,0.0,21.45,0.0,101.4,0.0,111.0
188,2034.25,15.0,2.5,7038.75,276.0,0.0,21.56,0.0,101.92,0.0,111.0
189,1274.52,15.0,2.5,8870.0,207.0,0.0,21.34,0.0,100.88,0.0,97.8
190,512.23,10.0,2.5,10769.454545454546,124.2,61.0,0.0,120.0,0.0,70.0,60.0
191,993.24,19.0,2.5,7521.25,174.8,0.0,23.1,0.0,109.2,0.0,69.0
192,1109.08,18.0,2.5,7253.0,174.8,0.0,38.5,0.0,182.0,0.0,75.0
193,1178.45,17.0,2.5,10580.588235294115,92.0,0.0,25.3,0.0,119.6,0.0,120.0
194,1145.55,14.0,2.5,11482.658227848102,92.0,0.0,25.3,0.0,119.6,0.0,120.0
195,1035.35,12.0,2.5,9292.307692307691,92.0,0.0,25.3,0.0,119.6,0.0,120.0
196,1107.87,24.0,2.5,6757.086614173229,92.0,0.0,16.28,0.0,76.96,0.0,103.2
197,1094.84,24.0,2.5,6328.676470588235,92.0,0.0,16.28,0.0,76.96,0.0,105.0
198,1150.63,24.0,2.5,7115.833333333333,92.0,0.0,19.58,0.0,92.56,0.0,103.2
