,Field_Name,Latitude,Longitude,Latitude_decimal,Longitude_decimal
112,M7V2024,S 16° 34' 21.00'',W 47° 09' 46.00'',-16.572499999999998,-47.16277777777778
113,M7V2025,S 16° 35' 42.00'',W 47° 09' 46.00'',-16.595,-47.16277777777778
114,M7V2026,S 16° 35' 04.00'',W 47° 09' 54.00'',-16.584444444444443,-47.165
115,M7V2027,S 16° 34' 49.00'',W 47° 08' 23.00'',-16.580277777777777,-47.13972222222222
116,M7V2028,S 16° 35' 30.00'',W 47° 08' 22.00'',-16.591666666666665,-47.13944444444444
117,M7I2012,S 17° 13' 48.00'',W 47° 26' 05.00'',-17.229999999999997,-47.43472222222222
118,M7I2013,S 17° 13' 53.00'',W 47° 26' 36.00'',-17.231388888888887,-47.44333333333333
119,M7I2014,"S 17° 14' 03.00""","W 47° 24' 16.00""",-17.234166666666667,-47.404444444444444
120,M7I2015,S 17° 13' 34.00'',W 47° 23' 59.00'',-17.22611111111111,-47.39972222222222
121,M7I2016,S 17° 11' 57.00'',W 47° 22' 52.00'',-17.199166666666667,-47.38111111111111
122,M7I2017,S 17° 11' 36.00'',W 47° 23' 33.00'',-17.193333333333335,-47.3925
123,M7I2018,S 17° 13' 13.00'',W 47° 23' 36.00'',-17.220277777777778,-47.39333333333333
124,M7I2035,"S 17° 12' 51.00""","W 47° 27' 23.00""",-17.214166666666667,-47.45638888888889
125,M7V2006,S 17° 13' 47.00'',W 47° 25' 30.00'',-17.22972222222222,-47.425
126,M7V2007,S 17° 14' 11.00'',W 47° 25' 53.00'',-17.23638888888889,-47.43138888888889
127,M7V2008,S 17° 14' 23.00'',W 47° 26' 20.00'',-17.239722222222223,-47.43888888888888
128,M7V2009,S 17° 13' 30.00'',W 47° 26' 59.00'',-17.224999999999998,-47.44972222222222
129,M7V2010,S 17° 13' 09.00'',W 47° 24' 42.00'',-17.219166666666666,-47.41166666666666
130,M7V2011,S 17° 14' 11.00'',W 47° 26' 19.00'',-17.23638888888889,-47.43861111111111
131,M7V2012,S 17° 13' 58.00'',W 47° 23' 40.00'',-17.232777777777777,-47.394444444444446
132,M7V2013,S 17° 12' 00.00'',W 47° 22° 24.00'',-17.2,-47.373333333333335
133,M7V2014,S 17° 11' 22.00'',W 47° 23' 36.00'',-17.189444444444444,-47.39333333333333
134,M4V2061,"S 23° 37' 35.0""","W 48° 54' 39.0""",-23.62638888888889,-48.91083333333333
135,M6V2050,"S 20° 16' 21.30""","W 47° 36' 21.40""",-20.272583333333333,-47.60594444444445
136,M6V2051,"S 20° 15' 55.90""","W 47° 36' 15.10""",-20.265527777777777,-47.604194444444445
137,M6V2043,"S 20° 21' 35.70""","W 47° 33' 08.70""",-20.359916666666667,-47.552416666666666
138,M6V2044,"S 20° 21' 12.70""","W 47° 33' 26.30""",-20.353527777777778,-47.55730555555555
139,M2I2029,"S 15° 24' 53.16""","W 55° 07' 24.35""",-15.414766666666667,-55.12343055555556
140,M2I2030,"S 15° 25' 08.28""","W 55° 06' 29.71""",-15.418966666666666,-55.10825277777778
141,M2I2031,"S 15° 24' 32.69""","W 55° 06' 46.04""",-15.409080555555557,-55.11278888888889
142,M4V2043,S 23° 48' 20.00'',W 49° 05' 35.00'',-23.805555555555557,-49.09305555555556
