,Field_Name,Crop_Protection_Application_Doses,Soil_Organic_Matter,Yield_kg_per_Ha,Total_N,Total_P,Total_K,Hybrid,Planned_Yield_kg_per_ha
150,M6I2034,13.0,2.5,5611.589743589743,85.4,0.0,0.0,DKB265PRO3,4600.0
151,M6I20170,16.0,2.5,3926.5,108.8,110.4,85.2,AG8061PRO2,3100.0
152,M6I20165,11.0,2.5,7088.0,202.0,108.0,150.0,AG8690PRO3,6700.0
153,M6I20166,10.0,2.5,6863.368421052632,202.0,108.0,150.0,AG8690PRO3,6700.0
154,M6I20178,15.0,2.5,12122.0,186.65,127.8,139.8,AG1051,8400.0
155,M6I20180,15.0,2.5,2010.1333333333332,186.65,127.8,139.8,DKB255PRO3,3600.0
156,M6I20118,14.0,2.5,6679.384615384615,115.3,119.6,120.0,AG8480PRO3,5400.0
157,M7I2055,13.0,2.5,7030.571428571428,138.0,0.0,0.0,DKB290PRO3,6600.0
158,M7I2056,12.0,2.5,6781.041666666667,138.0,0.0,0.0,DKB290PRO3,6600.0
159,M7I2057,18.0,2.5,6947.452830188679,138.0,0.0,0.0,DKB290PRO3,6600.0
160,M6I20108,16.0,2.5,6234.054054054054,199.0,111.0,132.0,AG7098PRO2,6200.0
161,M6I20109,13.0,2.5,7783.466666666666,199.0,111.0,132.0,AG7098PRO2,6200.0
162,M6I20119,19.0,2.5,6045.238095238095,199.0,111.0,132.0,AG7098PRO2,6200.0
163,M7I2001,22.0,2.5,6463.9,292.5,78.0,108.0,DKB390PRO2,5800.0
164,M7I2002,22.0,2.5,7839.1,194.0,70.0,128.0,DKB390PRO2,6100.0
165,M7I2003,17.0,2.5,6208.125,217.66,73.12,128.0,AG9030PRO3,5700.0
166,M7I2004,21.0,2.5,11079.56043956044,171.0,70.0,128.0,AG8065PRO3,9500.0
167,M6I2088,16.0,2.5,7862.777777777777,220.0,108.0,150.0,AG8088PRO2,6500.0
168,M6I2089,17.0,2.5,7277.407407407408,220.0,108.0,150.0,AG8088PRO2,6500.0
169,M6I2090,17.0,2.5,6498.360655737705,220.0,108.0,150.0,AG8088PRO2,6500.0
170,M6I2071,15.0,2.5,3659.020979020979,16.5,78.0,108.0,AS1633PRO3,3700.0
171,M7I2069,12.0,2.5,5920.865994774169,200.32,117.24,120.0,DKB335PRO3,5300.0
172,M7I2070,15.0,2.5,5585.280080381814,198.55,106.19999999999999,120.0,DKB335PRO3,5500.0
173,M7I2071,16.0,2.5,6939.067378386544,198.275,104.89999999999999,120.0,DKB335PRO3,5300.0
174,M7I2072,20.0,2.5,6337.936154417224,200.49,119.38,120.0,DKB335PRO3,5300.0
175,M7I2073,16.0,2.5,6838.920900995286,200.105,117.56,120.0,DKB335PRO3,5300.0
176,M7I2074,18.0,2.5,6835.833333333333,198.66,106.72,120.0,DKB335PRO3,5500.0
177,M6I20113,14.0,2.5,4542.794117647059,186.3,119.6,132.0,AG8061PRO2,3100.0
178,M6I2072,11.0,2.5,4341.0,186.3,119.6,0.0,AG8061PRO2,2800.0
179,M7I2068,23.0,2.5,7416.722222222223,212.1,83.2,100.2,AG8061PRO2,3900.0
180,M6I20136,21.0,2.5,4730.902377105931,211.5,130.0,150.0,DKB390PRO4,4500.0
181,M6I20137,21.0,2.5,4390.595009596929,211.5,130.0,150.0,DKB390PRO4,4500.0
182,M6I20138,21.0,2.5,7440.571428571428,211.5,130.0,150.0,AG8700PRO4,2400.0
183,M6I20139,22.0,2.5,6708.032128514056,211.5,130.0,150.0,AG8700PRO4,2400.0
184,M6I2079,8.0,2.5,9276.57142857143,297.12,99.84,97.2,DKB255PRO3,6100.0
185,M6I2080,8.0,2.5,8748.695652173914,297.23,100.36,97.2,DKB255PRO3,6100.0
186,M6I2081,13.0,2.5,8759.0,297.01,99.32,108.0,DKB255PRO3,6100.0
187,M6I2082,13.0,2.5,7341.111111111111,297.45,101.4,111.0,DKB255PRO3,6100.0
188,M6I2083,15.0,2.5,7038.75,297.56,101.92,111.0,DKB255PRO3,6100.0
