,yield per ha,CO2/ha,N_as_Urea_%,N_as_Nitrate_%,N_as_Ammonium_%,P_as_Phosphorus_%,P_as_P2O5_%,K_as_Potassium_%,K_as_K2O_%
2221,2054.3529411764707,866.61,0.0,0.0,11.0,0,52,0,0
2231,2054.3529411764707,866.61,0.0,0.0,0.0,0,0,0,60
2241,2054.3529411764707,866.61,46.0,0.0,0.0,0,0,0,0
2251,2054.3529411764707,866.61,46.0,0.0,0.0,0,0,0,0
2261,2054.3529411764707,866.61,46.0,0.0,0.0,0,0,0,0
2271,2698.4745762711864,1129.61,0.0,0.0,11.0,0,52,0,0
2281,2698.4745762711864,1129.61,0.0,0.0,11.0,0,52,0,0
2291,2698.4745762711864,1129.61,0.0,0.0,0.0,0,0,0,60
2301,2698.4745762711864,1129.61,46.0,0.0,0.0,0,0,0,0
2311,2698.4745762711864,1129.61,46.0,0.0,0.0,0,0,0,0
2321,4224.0,1070.73,0.0,0.0,11.0,0,52,0,0
2331,4224.0,1070.73,0.0,0.0,11.0,0,52,0,0
2341,4224.0,1070.73,0.0,0.0,0.0,0,0,0,60
2351,4224.0,1070.73,46.0,0.0,0.0,0,0,0,0
2361,3306.0,1106.38,0.0,0.0,11.0,0,52,0,0
2371,3306.0,1106.38,0.0,0.0,0.0,0,0,0,60
2381,3306.0,1106.38,46.0,0.0,0.0,0,0,0,0
2391,1123.612740232789,950.98,0.0,0.0,11.0,0,52,0,0
2401,1123.612740232789,950.98,46.0,0.0,0.0,0,0,0,0
2411,1123.612740232789,950.98,46.0,0.0,0.0,0,0,0,0
2421,2386.2776877363585,1043.16,0.0,0.0,11.0,0,52,0,0
2431,2386.2776877363585,1043.16,46.0,0.0,0.0,0,0,0,0
2441,2535.405041370021,423.63,0.0,0.0,11.0,0,52,0,0
2451,2535.405041370021,423.63,46.0,0.0,0.0,0,0,0,0
2461,2535.405041370021,423.63,46.0,0.0,0.0,0,0,0,0
2471,2679.4318590435096,919.91,0.0,0.0,11.0,0,52,0,0
2481,2679.4318590435096,919.91,0.0,0.0,0.0,0,0,0,60
2491,2679.4318590435096,919.91,46.0,0.0,0.0,0,0,0,0
2501,2918.974358974359,870.74,0.0,0.0,11.0,0,52,0,0
2511,2918.974358974359,870.74,0.0,0.0,11.0,0,52,0,0
2521,2918.974358974359,870.74,0.0,0.0,0.0,0,0,0,60
2531,2918.974358974359,870.74,46.0,0.0,0.0,0,0,0,0
2541,3232.1428571428573,976.89,0.0,0.0,11.0,0,52,0,0
2551,3232.1428571428573,976.89,0.0,0.0,11.0,0,52,0,0
2561,3232.1428571428573,976.89,0.0,0.0,0.0,0,0,0,60
2571,3232.1428571428573,976.89,46.0,0.0,0.0,0,0,0,0
2581,3232.1428571428573,976.89,46.0,0.0,0.0,0,0,0,0
2591,4033.2075471698113,881.41,0.0,0.0,11.0,0,52,0,0
2601,4033.2075471698113,881.41,0.0,0.0,11.0,0,52,0,0
2611,4033.2075471698113,881.41,0.0,0.0,0.0,0,0,0,60
2621,4033.2075471698113,881.41,46.0,0.0,0.0,0,0,0,0
2631,4416.88,1255.56,0.0,0.0,11.0,0,52,0,0
2641,4416.88,1255.56,0.0,0.0,0.0,0,0,0,60
2651,4416.88,1255.56,46.0,0.0,0.0,0,0,0,0
2661,4351.727272727273,914.34,46.0,0.0,0.0,0,0,0,0
2671,3427.2727272727275,820.02,46.0,0.0,0.0,0,0,0,0
2681,2931.276595744681,689.96,46.0,0.0,0.0,0,0,0,0
2691,4662.738095238095,-194.42,46.0,0.0,0.0,0,0,0,0
2701,4016.076923076923,1248.87,0.0,0.0,11.0,0,52,0,0
2711,4016.076923076923,1248.87,0.0,0.0,0.0,0,0,0,60
2721,4016.076923076923,1248.87,46.0,0.0,0.0,0,0,0,0
2731,3829.1346153846152,-577.94,0.0,0.0,0.0,0,0,60,0
2741,3829.1346153846152,-577.94,0.0,0.0,11.0,0,52,0,0
2751,4292.692307692308,163.09,0.0,0.0,0.0,0,0,60,0
2761,4292.692307692308,163.09,0.0,0.0,11.0,0,52,0,0
2771,4292.692307692308,163.09,46.0,0.0,0.0,0,0,0,0
2781,4125.393258426966,496.51,0.0,0.0,0.0,0,0,60,0
2791,4125.393258426966,496.51,0.0,45.0,0.0,0,0,0,0
2801,4125.393258426966,496.51,0.0,0.0,11.0,0,52,0,0
2811,4125.393258426966,496.51,46.0,0.0,0.0,0,0,0,0
2821,3685.6190476190477,-493.88,0.0,0.0,11.0,0,52,0,0
2831,3685.6190476190477,-493.88,0.0,0.0,0.0,0,0,0,60
2841,3685.6190476190477,-493.88,46.0,0.0,0.0,0,0,0,0
2851,5446.666666666667,1135.37,0.0,0.0,11.0,0,52,0,0
2861,5446.666666666667,1135.37,0.0,0.0,0.0,0,0,0,60
2871,5446.666666666667,1135.37,46.0,0.0,0.0,0,0,0,0
2881,3197.3333333333335,-1146.97,0.0,0.0,11.0,0,52,0,0
2891,3197.3333333333335,-1146.97,0.0,0.0,0.0,0,0,0,60
2901,3197.3333333333335,-1146.97,46.0,0.0,0.0,0,0,0,0
2911,4785.333333333333,-665.73,0.0,0.0,11.0,0,52,0,0
2921,4785.333333333333,-665.73,0.0,0.0,0.0,0,0,0,60
2931,4785.333333333333,-665.73,46.0,0.0,0.0,0,0,0,0
2941,4104.833333333333,-1427.07,0.0,0.0,11.0,0,52,0,0
2951,4104.833333333333,-1427.07,0.0,0.0,0.0,0,0,0,60
2961,4104.833333333333,-1427.07,46.0,0.0,0.0,0,0,0,0
2971,3308.9166666666665,-1074.05,0.0,0.0,11.0,0,52,0,0
2981,3308.9166666666665,-1074.05,0.0,0.0,0.0,0,0,0,60
2991,3308.9166666666665,-1074.05,46.0,0.0,0.0,0,0,0,0
3001,4794.625,1102.21,0.0,0.0,11.0,0,52,0,0
3011,4794.625,1102.21,0.0,0.0,0.0,0,0,0,60
3021,4794.625,1102.21,46.0,0.0,0.0,0,0,0,0
3031,4817.906976744186,1018.44,0.0,0.0,11.0,0,52,0,0
3041,4817.906976744186,1018.44,0.0,0.0,0.0,0,0,0,60
3051,4817.906976744186,1018.44,46.0,0.0,0.0,0,0,0,0
3061,3685.222222222222,1009.29,0.0,0.0,11.0,0,52,0,0
3071,3685.222222222222,1009.29,0.0,0.0,0.0,0,0,0,60
3081,3685.222222222222,1009.29,46.0,0.0,0.0,0,0,0,0
3091,3685.222222222222,1009.29,46.0,0.0,0.0,0,0,0,0
3101,3783.0,961.43,0.0,0.0,11.0,0,52,0,0
3111,3783.0,961.43,0.0,0.0,0.0,0,0,0,60
3121,3783.0,961.43,46.0,0.0,0.0,0,0,0,0
3131,3783.0,961.43,46.0,0.0,0.0,0,0,0,0
3141,4267.2307692307695,1064.11,0.0,0.0,11.0,0,52,0,0
3151,4267.2307692307695,1064.11,0.0,0.0,0.0,0,0,0,60
3161,4267.2307692307695,1064.11,46.0,0.0,0.0,0,0,0,0
3171,4267.2307692307695,1064.11,46.0,0.0,0.0,0,0,0,0
3181,4260.0,1038.79,0.0,0.0,11.0,0,52,0,0
3191,4260.0,1038.79,0.0,0.0,0.0,0,0,0,60
3201,4260.0,1038.79,46.0,0.0,0.0,0,0,0,0
3211,4260.0,1038.79,46.0,0.0,0.0,0,0,0,0
3221,3112.769230769231,876.16,0.0,0.0,11.0,0,52,0,0
3231,3112.769230769231,876.16,0.0,0.0,0.0,0,0,0,60
3241,3112.769230769231,876.16,46.0,0.0,0.0,0,0,0,0
3251,3112.769230769231,876.16,46.0,0.0,0.0,0,0,0,0
3261,4696.222222222223,1058.31,0.0,0.0,11.0,0,52,0,0
3271,4696.222222222223,1058.31,0.0,0.0,0.0,0,0,0,60
3281,4696.222222222223,1058.31,46.0,0.0,0.0,0,0,0,0
3291,1162.375,1056.86,0.0,0.0,11.0,0,52,0,0
3301,1162.375,1056.86,0.0,0.0,0.0,0,0,0,60
3311,1162.375,1056.86,46.0,0.0,0.0,0,0,0,0
3321,1162.375,1056.86,46.0,0.0,0.0,0,0,0,0
3331,3018.2,-1373.27,0.0,0.0,11.0,0,52,0,0
3341,3018.2,-1373.27,0.0,0.0,0.0,0,0,0,60
3351,3018.2,-1373.27,46.0,0.0,0.0,0,0,0,0
3361,2620.0,222.16,0.0,0.0,11.0,0,52,0,0
3371,2620.0,222.16,0.0,0.0,0.0,0,0,0,60
3381,2620.0,222.16,46.0,0.0,0.0,0,0,0,0
3391,2620.0,222.16,46.0,0.0,0.0,0,0,0,0
3401,2134.5,-510.9,0.0,0.0,11.0,0,52,0,0
3411,2134.5,-510.9,0.0,0.0,0.0,0,0,0,60
3421,2134.5,-510.9,46.0,0.0,0.0,0,0,0,0
3431,2134.5,-510.9,46.0,0.0,0.0,0,0,0,0
3441,2763.0,-811.34,0.0,0.0,11.0,0,52,0,0
3451,2763.0,-811.34,0.0,0.0,0.0,0,0,0,60
3461,2763.0,-811.34,46.0,0.0,0.0,0,0,0,0
3471,2763.0,-811.34,46.0,0.0,0.0,0,0,0,0
3481,3497.4418604651164,-1247.12,0.0,0.0,11.0,0,52,0,0
3491,3497.4418604651164,-1247.12,0.0,0.0,0.0,0,0,0,60
3501,3497.4418604651164,-1247.12,46.0,0.0,0.0,0,0,0,0
3511,4758.4,-519.56,0.0,0.0,11.0,0,52,0,0
3521,4758.4,-519.56,0.0,0.0,0.0,0,0,0,60
3531,4758.4,-519.56,46.0,0.0,0.0,0,0,0,0
3541,4758.4,-519.56,46.0,0.0,0.0,0,0,0,0
3551,1647.4615384615386,-577.56,0.0,0.0,11.0,0,52,0,0
3561,1647.4615384615386,-577.56,0.0,0.0,0.0,0,0,0,60
3571,1647.4615384615386,-577.56,46.0,0.0,0.0,0,0,0,0
3581,1647.4615384615386,-577.56,46.0,0.0,0.0,0,0,0,0
3591,2910.8571428571427,561.83,0.0,0.0,11.0,0,52,0,0
