,Field_Name,CO2_kg_per_Ha,Crop_Protection_Application_Doses,Soil_Organic_Matter,Yield_kg_per_Ha,N_total_kg_per_ha,P_total_kg_per_ha,K_total_kg_per_ha
199,M7I2022,1119.66,24.0,2.5,7462.317073170731,199.18,71.76,103.2
200,M7I2079,1057.6,21.0,2.5,7727.701149425287,199.18,71.76,82.2
201,M7I2080,1134.51,23.0,2.5,8327.8,200.17000000000002,76.44,100.2
202,M2I2005,409.14,10.0,2.5,7509.6,155.7,0.0,120.0
203,M2I2006,261.38,15.0,2.5,7468.571428571428,124.2,0.0,132.0
204,M2I2007,359.71,10.0,2.5,5949.333333333333,155.7,0.0,120.0
205,M2I2013,-553.55,10.0,2.5,8927.565217391304,31.5,0.0,120.0
206,M6I2073,1131.96,22.0,2.5,7112.815533980583,206.0,104.0,102.0
207,M6I2074,1091.1,18.0,2.5,8368.155339805826,206.0,104.0,105.0
208,M6I2076,1040.93,19.0,2.5,3772.127659574468,212.6,135.2,132.0
209,M6I2001,-400.21,14.0,2.5,8632.333333333334,109.8,101.2,0.0
210,M6I2002,-80.93,14.0,2.5,7972.0,202.0,110.0,0.0
211,M6I2077,-61.75,15.0,2.5,8078.8,199.8,101.2,0.0
212,M6I2078,-393.52,13.0,2.5,9496.0,109.8,101.2,0.0
213,M6I20114,1256.85,22.0,2.5,4527.25,285.8,0.0,114.0
214,M7I2047,785.26,23.0,2.5,4091.84,185.6,108.0,122.0
215,M7I2048,1050.97,19.0,2.5,6277.76,224.0,108.0,122.0
216,M7I2049,1153.82,24.0,2.5,6291.6,224.0,108.0,122.0
217,M7I2050,1549.26,24.0,2.5,6391.44,250.0,108.0,122.0
218,M7I2051,1085.45,22.0,2.5,8513.84,204.0,108.0,122.0
219,M2I2039,459.49,19.0,2.5,7780.261437908497,141.4,124.8,132.0
220,M7I2066,1116.66,21.0,2.5,8623.225806451614,201.6,83.2,100.2
221,M7I2067,1040.41,15.0,2.5,10497.584745762711,200.28,76.96,100.2
222,M6I20121,1028.14,18.0,2.5,7712.051282051282,162.275,1.3,115.8
