,N_as_Nitrate_kg_per_Ha,P_as_Phosphorus_kg_per_Ha,K_as_Potassium_kg_per_Ha,Field_Name,Soil_Organic_Matter,Yield_Mass_kg_Per_Ha,CO2_kg_Emissions_per_Ha,Total_Water_Applied_mm,Crop_Protection_Application_Doses
134,8250.0,0.0,3750.0,M4V2042,4.336,4763.5,-750.58,450,12
135,5000.0,0.0,5000.0,M4V2043,2.5,5194.744318181818,-325.26,450,23
136,14960.0,13860.0,9500.0,M4V2044,2.16,4845.555555555556,198.65,450,20
137,0.0,0.0,0.0,M4V2045,4.1,4243.192488262911,-8.44,450,18
138,0.0,0.0,0.0,M4V2046,3.6,3820.276497695853,304.35,450,17
139,0.0,0.0,0.0,M4V2047,2.5,4241.517857142858,795.7,450,10
140,0.0,0.0,0.0,M4V2048,3.4,2788.101983002833,122.23,450,12
141,0.0,0.0,0.0,M4V2049,3.2,3455.367231638418,247.1,450,10
142,0.0,0.0,0.0,M4V2050,4,3214.2105263157896,-380.29,450,9
143,0.0,0.0,0.0,M4V2051,2.5,4127.46365105008,763.64,450,8
144,0.0,0.0,0.0,M4V2052,2.5,3290.3394255874678,742.03,450,10
145,6156.0,0.0,2052.0,M4V2053,2.683333333333333,4500.0,134.81,450,13
146,0.0,0.0,0.0,M4V2054,2.5,3166.904761904762,474.06,450,15
147,0.0,0.0,0.0,M4V2055,2.5,3148.846153846154,734.38,450,13
148,0.0,0.0,0.0,M4V2056,3.9441666666666655,4278.534031413612,-342.56,450,15
149,0.0,0.0,0.0,M4V2057,2.3,3917.375190756486,1420.09,450,22
150,0.0,0.0,0.0,M4V2058,2.0465306122448976,5355.567010309278,1747.49,450,17
151,19800.0,9000.0,3000.0,M4V2059,2.4435294117647057,3984.0707964601766,-107.58,450,10
152,19800.0,9000.0,3000.0,M4V2060,2.4866666666666672,4217.515923566879,-85.23,450,11
153,0.0,0.0,0.0,M4V2061,2.5,4305.6,181.96,450,17
154,0.0,0.0,0.0,M4V2062,3.896808510638298,2461.772151898734,-1225.34,450,9
155,0.0,0.0,0.0,M4V2063,3.5373529337058836,4103.9655172413795,-1563.34,450,8
156,0.0,0.0,0.0,M4V2064,2.9929411764705884,4607.333333333333,56.49,450,15
157,0.0,0.0,0.0,M4V2065,1.98,4323.611111111111,1363.35,450,20
158,0.0,0.0,0.0,M4V2067,1.35,3716.3120567375886,1940.39,450,16
159,0.0,0.0,0.0,M4V2068,3.1782142857142865,4952.321428571428,-92.35,450,10
160,9240.0,12450.0,13150.0,M4V2069,2.5,6272.391304347826,-266.22,450,14
161,19740.0,12450.0,16900.0,M4V2070,2.5,6545.3448275862065,297.04,450,23
162,18171.0,0.0,0.0,M4V2071,2.5,3106.7619047619046,-71.95,450,18
163,17370.0,0.0,0.0,M4V2072,2.5,2893.3333333333335,-171.78,450,15
164,3250.0,8250.0,0.0,M4V2101,1.708695652173913,4380.588235294118,1716.36,450,22
165,23024.0,8184.0,0.0,M4V2102,2.5,4382.972582972583,242.86,450,20
166,7668.2,0.0,12000.0,M4V2103,2.3788,4126.333333333333,939.66,450,15
167,0.0,0.0,0.0,M4V2104,2.055,4735.25,1683.85,450,15
