,N_as_Nitrate_kg_per_Ha,P_as_Phosphorus_kg_per_Ha,K_as_Potassium_kg_per_Ha,Field_Name,Crop_Area_Ha,Soil_Organic_Matter,Yield_Mass_kg_Per_Ha,CO2_kg_Emissions_per_Ha
163,5600.0,5600.0,5600.0,M6I2064,36,2.5,3663.8888888888887,-133.61
164,5600.0,5600.0,5600.0,M6I2065,19,2.5,3012.6315789473683,-175.62
165,5600.0,5600.0,5600.0,M6I2066,41,2.5,4163.414634146341,-276.05
166,5600.0,5600.0,5600.0,M6I2067,72,2.5,4289.583333333333,-122.66
167,1550.0,11470.0,0.0,M6I2075,95,2.5,3593.0526315789475,731.08
168,19980.0,10120.0,0.0,M6I2077,50,2.5,4197.8,-61.75
169,10980.0,10120.0,0.0,M6I2078,50,2.5,5153.4,-393.52
170,6100.0,12000.0,7000.0,M6I2085,27.5,2.5,6101.818181818182,512.23
171,3600.0,10800.0,5400.0,M6I2088,18,2.5,3862.222222222222,1025.8
172,3600.0,10800.0,5400.0,M6I2089,27,2.5,3383.3333333333335,1027.58
173,3600.0,10800.0,5400.0,M6I2090,30.5,2.5,2983.934426229508,1002.87
174,4800.0,12000.0,12000.0,M6I2102,125,2.5,3771.52,1019.7
175,9600.0,24000.0,21000.0,M6I2103,85,2.5,2577.4117647058824,1296.1
176,23750.0,10500.0,12000.0,M6I2107,75,2.845833333333333,3540.0,-195.48
177,3500.0,10500.0,15500.0,M6I2108,104,3.0529411764705885,3662.7884615384614,754.39
178,3600.0,10800.0,5400.0,M6I21100,30.5,3.1,4844.262295081967,595.45
179,2240.0,7840.0,4480.0,M6I21102,61,3.046875,2580.0,635.2
180,3200.0,11200.0,6400.0,M6I21113,78,2.5,3120.0,1291.91
181,1500.0,9000.0,3000.0,M6I21119,65,3.0355140186915888,2924.923076923077,-1190.97
182,3500.0,10500.0,3500.0,M6I2112,90,2.5821428571428573,3717.0,1094.21
183,1500.0,9000.0,3000.0,M6I21120,65,3.318181818181818,2620.769230769231,-1410.83
184,1500.0,9000.0,3000.0,M6I21121,70,3.0355140186915888,2925.0,-1190.97
185,1500.0,9000.0,3000.0,M6I21124,122.4,3.1419354838709674,3158.986928104575,-1262.25
186,3500.0,10500.0,0.0,M6I2113,122,3.1923076923076925,3540.0,631.06
187,1000.0,9400.0,0.0,M6I21134,105,2.69875,2254.8571428571427,546.65
188,1000.0,9400.0,0.0,M6I21135,60,2.89,3772.1666666666665,643.77
189,1000.0,9400.0,0.0,M6I21136,105,2.635,2606.8571428571427,767.85
190,1000.0,9400.0,0.0,M6I21137,110,2.7625,3882.0,706.31
191,1000.0,9400.0,0.0,M6I21138,39,2.38,2730.5128205128203,950.91
192,1000.0,9400.0,0.0,M6I21139,50,4.4,2254.8,-2246.65
193,3500.0,10500.0,12000.0,M6I2114,88,2.6923076923076925,3268.409090909091,991.57
194,1000.0,9400.0,0.0,M6I21140,42,2.93,2254.7619047619046,-1154.65
195,16400.0,12800.0,5600.0,M6I2116,122,2.66,2724.0163934426228,212.07
196,5600.0,12800.0,5600.0,M6I2117,58,2.25,2759.137931034483,525.88
197,1600.0,11840.0,12000.0,M6I21170,95,3.6208333333333336,2660.9473684210525,-109.83
198,1600.0,11840.0,12000.0,M6I21171,120,3.6583333333333337,4368.0,-113.96
199,1600.0,11840.0,12000.0,M6I21172,120,3.6125,5049.666666666667,4.76
200,1600.0,11840.0,12000.0,M6I21173,120,3.201639344262295,2661.0,201.58
201,1600.0,11840.0,12000.0,M6I21174,125,3.7786885245901636,4468.16,-199.84
202,1600.0,11840.0,12000.0,M6I21175,125,3.756666666666667,3978.0,-219.87
203,3800.0,9120.0,3800.0,M6I21178,35,2.8,5880.0,-768.13
204,11200.0,8640.0,7800.0,M6I21179,75,2.7,2776.6666666666665,-610.22
205,5600.0,12800.0,5600.0,M6I2118,25,2.45,2970.0,-501.85
206,3600.0,8640.0,3600.0,M6I21180,86,2.66,2940.0,-81.29
207,1400.0,15200.0,0.0,M6I21181,104,2.6153846153846154,2760.0,476.87
208,1400.0,15200.0,0.0,M6I21182,104,2.3625,2765.9615384615386,754.96
209,3600.0,10800.0,5400.0,M6I21183,19.5,2.5,2242.5641025641025,863.69
210,3600.0,10800.0,5400.0,M6I21184,48,3.1,2979.5833333333335,514.75
211,3600.0,10800.0,5400.0,M6I21185,68,3.1,4719.558823529412,580.45
212,5600.0,12800.0,5600.0,M6I2119,25,2.74,2072.8,-367.94
213,15000.0,0.0,10000.0,M6I21190,34,4.16,3116.176470588235,-648.15
214,15000.0,0.0,10000.0,M6I21191,50,2.5,3510.0,912.52
215,15000.0,0.0,10000.0,M6I21192,62,2.9099999999999997,1540.8064516129032,529.23
