,CO2_kg_per_Ha,Crop_Protection_Application_Doses,Soil_Organic_Matter,Yield_kg_per_Ha,N_total_kg_per_ha,P_total_kg_per_ha,K_total_kg_per_ha
203,1044.24,26.0,2.4,5779.6551724137935,185.32,6.24,0.0
204,211.31,25.0,4.0,7427.75,212.38,134.16,162.0
205,1417.4,28.0,2.1864285714285714,6290.869565217391,197.7,130.0,114.0
206,1180.36,25.0,2.4338,4910.8,203.2,156.0,114.0
207,780.88,25.0,3.068571428571428,5725.714285714285,207.8,156.0,114.6
208,1076.78,24.0,2.4338,3928.4,197.7,130.0,114.0
209,1107.97,15.0,2.5,10627.333333333334,206.0,104.0,120.0
210,-433.52,15.0,2.5,9658.608695652174,22.0,104.0,120.0
211,765.19,14.0,2.563913043478261,4805.416666666667,194.0,156.0,115.8
212,871.47,17.0,2.717777777777777,6978.75,203.2,156.0,115.8
213,1031.5,25.0,2.5357142857142856,4213.561643835616,197.7,130.0,115.8
214,1705.3,16.0,2.5846153846153843,5381.578947368421,276.8,156.0,115.8
215,1626.4,31.0,3.2700000000000005,5677.60736196319,284.46000000000004,76.96,120.0
216,1198.62,27.0,2.5,4981.533333333334,209.48,76.96,0.0
217,1555.52,37.0,2.5,5611.565217391304,217.76,76.96,111.0
218,1550.66,33.0,2.5,7689.245283018868,223.28,76.96,0.0
219,1198.42,32.0,2.5,4662.666666666667,200.28,76.96,0.0
220,1131.2,20.0,2.9285714285714284,8543.68,233.06,231.92,132.0
221,183.79,18.0,3.9,7527.272727272727,219.06,228.8,115.2
222,497.31,18.0,3.54,7495.0,223.53,230.36,118.2
223,567.74,18.0,3.657142857142857,7065.106382978724,239.5,231.92,124.2
224,742.46,19.0,3.3125,6109.166666666667,233.06,231.92,118.2
225,2027.96,27.0,2.5,8636.666666666666,274.64,428.48,135.6
226,1296.0,28.0,2.5964285714285715,7594.888888888889,224.5438,76.22160000000001,72.6624
227,1704.04,27.0,2.745945945945946,6293.545454545455,273.475,73.6344,54.5412
