,Field_Name,CO2_kg_per_Ha,Total_Water_Applied_mm,Crop_Protection_Application_Doses,Soil_Organic_Matter,Yield_kg_per_Ha,N_as_Urea_kg_per_Ha,N_as_Nitrate_kg_per_Ha,N_as_Ammonium_kg_per_Ha,P_as_Phosphorus_kg_per_Ha,P_as_P2O5_kg_per_Ha,K_as_Potassium_kg_per_Ha,K_as_K2O_kg_per_Ha
133,M7V2060,-162.48,450.0,10.0,3.4,659.2592592592592,115.0,0.0,0.0,0.0,0.0,0.0,0.0
134,M7V2061,1640.06,450.0,12.0,0.95,1753.4193548387098,115.0,0.0,0.0,0.0,0.0,0.0,0.0
135,M7V2037,295.28,450.0,24.0,3.5,4907.058823529412,92.0,0.0,0.0,0.0,0.0,0.0,0.0
136,M7V2038,218.81,450.0,24.0,3.65,5416.976744186047,92.0,0.0,0.0,0.0,0.0,0.0,0.0
137,M4V2007,996.19,450.0,15.0,2.7263157894736842,4159.75,121.9,0.0,0.0,0.0,0.0,0.0,132.0
138,M4V2008,-476.89,450.0,15.0,4.366666666666666,4323.0,108.1,0.0,0.0,0.0,0.0,0.0,130.8
139,M4V2009,-152.04,450.0,14.0,4.057142857142857,4161.029411764706,112.7,0.0,0.0,0.0,0.0,0.0,105.0
140,M4V2010,-204.65,450.0,11.0,4.1875,4053.6666666666665,212.98,0.0,0.0,0.0,0.0,0.0,130.8
141,M6V2078,-181.11,450.0,21.0,2.9,3784.7311827956987,92.0,0.0,0.0,0.0,0.0,0.0,0.0
142,M4V2045,-8.44,450.0,18.0,4.1,4243.192488262911,188.6,0.0,20.9,0.0,98.8,0.0,78.0
143,M4V2046,304.35,450.0,17.0,3.6,3820.276497695853,188.6,0.0,20.9,0.0,98.8,0.0,78.0
144,M4V2047,795.7,450.0,10.0,2.5,4241.517857142858,188.6,0.0,0.0,0.0,0.0,0.0,78.0
145,M4V2048,122.23,450.0,12.0,3.4,2788.101983002833,188.6,0.0,0.0,0.0,0.0,0.0,78.0
146,M4V2049,247.1,450.0,10.0,3.2,3455.367231638418,188.6,0.0,0.0,0.0,0.0,0.0,78.0
147,M4V2050,-380.29,450.0,9.0,4.0,3214.2105263157896,188.6,0.0,0.0,0.0,0.0,0.0,78.0
148,M4V2051,763.64,450.0,8.0,2.5,4127.46365105008,188.6,0.0,0.0,0.0,0.0,0.0,78.0
149,M4V2052,742.03,450.0,10.0,2.5,3290.3394255874678,188.6,0.0,0.0,0.0,0.0,0.0,78.0
150,M2V2016,-271.76,450.0,17.0,2.5,2536.6463414634145,62.1,0.0,0.0,0.0,0.0,0.0,60.0
151,M2I2034,-704.27,350.0,21.0,2.5,2415.3571428571427,0.0,0.0,0.44,0.0,2.08,0.0,0.0
152,M6V2011,-358.9,450.0,24.0,3.9115384615384614,4377.4358974358975,133.4,24.48,0.0,119.68,0.0,0.0,120.0
153,M6V2012,973.03,450.0,25.0,3.124137931034483,3544.74358974359,101.2,24.48,0.22,119.68,1.04,0.0,120.0
154,M6V2013,-551.39,450.0,24.0,3.832,3543.2051282051284,55.2,24.48,0.0,119.68,0.0,0.0,120.0
155,M6V2066,748.4,450.0,24.0,2.007894736842105,3943.076923076923,101.2,24.48,0.0,119.68,0.0,0.0,120.0
156,M2I2008,1060.97,350.0,19.0,2.5,4960.0,124.2,26.0,0.0,119.6,0.0,0.0,120.0
157,M2I2009,490.6,350.0,19.0,2.5,4477.614678899083,59.8,26.0,0.0,119.6,0.0,0.0,120.0
158,M2I2010,-85.83,350.0,18.0,2.5,4445.221238938053,59.8,26.0,0.0,119.6,0.0,0.0,120.0
159,M2I2011,-213.99,350.0,16.0,2.5,4844.298245614035,59.8,0.0,0.0,0.0,0.0,0.0,120.0
160,M2I2012,-534.9,350.0,17.0,2.5,5228.347826086957,0.0,26.0,0.0,119.6,0.0,0.0,120.0
161,M6I20174,-623.14,350.0,15.0,2.5,3452.3863636363635,0.0,33.0,0.0,99.0,0.0,0.0,105.0
162,M6I2025,-59.9,350.0,15.0,2.5,3364.6153846153848,0.0,116.0,0.0,78.0,0.0,90.0,0.0
163,M6I2026,-666.04,350.0,15.0,2.5,2826.6666666666665,0.0,35.0,0.0,105.0,0.0,0.0,97.8
164,M6I2027,-621.57,350.0,15.0,2.5,3543.846153846154,0.0,33.0,0.0,99.0,0.0,0.0,96.0
165,M6I2028,-631.81,350.0,15.0,2.5,3157.7049180327867,0.0,33.0,0.0,99.0,0.0,0.0,96.0
166,M6I2029,-649.24,350.0,15.0,2.5,3660.714285714286,0.0,33.0,0.0,99.0,0.0,0.0,0.0
