,0,Soil_Organic_Matter,Application_Rate_Unit_kg/ha,Crop_Protection_Application_Doses,Total_Water_Applied_mm,value,Soil_pH
8241,3754.2,2.5,500.0,15,350,980.97,5.5
8271,4987.0,2.66,450.0,12,450,1236.15,5.5
8301,5456.4,3.01,450.0,15,450,-144.72,5.5
8561,3521.714285714286,2.2008333333333328,300.0,24,450,491.82,5.5
8821,2028.5,2.5,460.0,16,350,-493.5,5.5
8831,2028.5,2.5,200.0,16,350,-493.5,5.5
8841,4433.218334154756,2.5,200.4,15,450,-42.83,5.5
8851,4433.218334154756,2.5,221.8,15,450,-42.83,5.5
8871,4414.5077720207255,2.5,200.5,15,450,-73.84,5.5
8881,4414.5077720207255,2.5,207.3,15,450,-73.84,5.5
8911,2390.153846153846,2.5,450.0,11,350,811.5,5.5
8941,2664.4210526315787,2.5,450.0,10,350,783.94,5.5
8971,7152.0,2.5,300.0,15,350,876.91,5.5
9021,1951.8666666666666,2.5,300.0,15,350,557.01,5.5
9161,3984.0707964601766,2.4435294117647057,300.0,10,450,-107.58,5.5
9171,3984.0707964601766,2.4435294117647057,200.0,10,450,-107.58,5.5
9191,3366.4615384615386,2.5,200.0,14,350,-289.27,5.5
9281,2494.864864864865,2.5,300.0,16,350,876.85,5.5
9311,4044.266666666667,2.5,300.0,13,350,864.07,5.5
9341,2739.5238095238096,2.5,300.0,19,350,932.34,5.5
9441,4268.4,2.5,250.0,22,350,1013.55,5.5
9471,2890.5,2.5,250.0,17,350,1099.29,5.5
9531,6631.208791208791,2.5,250.0,21,350,874.87,5.5
9641,3862.222222222222,2.5,450.0,16,350,1025.8,5.5
9671,3383.3333333333335,2.5,450.0,17,350,1027.58,5.5
9701,2983.934426229508,2.5,450.0,17,350,1002.87,5.5
9751,3914.354066985646,2.5,181.8,15,450,-75.24,5.5
9761,3914.354066985646,2.5,180.0,15,450,-75.24,5.5
9771,3914.354066985646,2.5,41.1,15,450,-75.24,5.5
9791,5539.351851851851,2.5,180.0,16,450,76.09,5.5
9801,5539.351851851851,2.5,69.4,16,450,76.09,5.5
9821,3080.96,2.5,48.0,21,450,-3.68,5.5
9831,3080.96,2.5,165.2,21,450,-3.68,5.5
9841,3080.96,2.5,180.0,21,450,-3.68,5.5
9861,4692.566371681416,2.5,180.0,15,450,-16.24,5.5
9871,4692.566371681416,2.5,195.0,15,450,-16.24,5.5
9881,4692.566371681416,2.5,35.4,15,450,-16.24,5.5
9901,3412.2184894861266,2.5,300.0,12,350,792.55,5.5
9941,3276.563677467973,2.5,280.0,15,350,829.63,5.5
10001,4065.565515157619,2.5,280.0,16,350,890.6,5.5
10061,3510.6161841128437,2.5,310.0,20,350,969.56,5.5
10101,3915.9245678365637,2.5,310.0,16,350,899.78,5.5
10151,4225.208333333333,2.5,280.0,18,350,932.07,5.5
10241,2494.7619047619046,2.7,176.0,10,450,261.41,5.5
10301,3106.7619047619046,2.5,204.5,18,450,-71.95,5.5
10311,3106.7619047619046,2.5,199.3,18,450,-71.95,5.5
10331,2893.3333333333335,2.5,204.5,15,450,-171.78,5.5
10341,2893.3333333333335,2.5,181.5,15,450,-171.78,5.5
10891,6101.818181818182,2.5,400.0,10,350,512.23,5.5
10901,6101.818181818182,2.5,150.0,10,350,512.23,5.5
11111,4076.4,4.546842105263158,250.0,13,450,-1323.71,5.5
11141,4763.5,4.336,250.0,12,450,-750.58,5.5
11811,4464.583333333333,2.5,220.0,14,350,-400.21,5.5
11821,4464.583333333333,2.5,200.0,14,350,-400.21,5.5
11831,4412.5,2.5,220.0,14,350,-80.93,5.5
11841,4412.5,2.5,200.0,14,350,-80.93,5.5
11851,4197.8,2.5,220.0,15,350,-61.75,5.5
11861,4197.8,2.5,200.0,15,350,-61.75,5.5
11881,5153.4,2.5,220.0,13,350,-393.52,5.5
11891,5153.4,2.5,200.0,13,350,-393.52,5.5
11981,2285.0,2.5,240.0,22,350,1256.85,5.5
12141,4500.0,2.683333333333333,171.0,13,450,134.81,5.5
12481,2097.92,2.5,400.0,23,350,785.26,5.5
12521,3279.52,2.5,400.0,19,350,1050.97,5.5
12551,3314.4,2.5,400.0,24,350,1153.82,5.5
12581,3390.0,2.5,400.0,24,350,1549.26,5.5
12621,4465.52,2.5,400.0,22,350,1085.45,5.5
12681,6272.391304347826,2.5,150.0,14,450,-266.22,5.5
12691,6272.391304347826,2.5,415.0,14,450,-266.22,5.5
12701,6272.391304347826,2.5,150.0,14,450,-266.22,5.5
12741,6545.3448275862065,2.5,150.0,23,450,297.04,5.5
12751,6545.3448275862065,2.5,415.0,23,450,297.04,5.5
12761,6545.3448275862065,2.5,150.0,23,450,297.04,5.5
12771,6545.3448275862065,2.5,150.0,23,450,297.04,5.5
12831,2112.328767123288,1.96,215.0,34,450,1437.37,6.0
12871,4217.515923566879,2.4866666666666672,300.0,11,450,-85.23,5.5
12881,4217.515923566879,2.4866666666666672,200.0,11,450,-85.23,5.5
12901,4295.490196078431,2.5,220.0,19,350,459.49,5.5
13041,3190.2380952380954,2.5,280.0,15,350,855.43,5.5
13091,2971.3333333333335,2.5,290.0,16,350,876.99,5.5
13161,4087.2,2.5,290.0,8,350,338.27,5.5
13181,3451.809523809524,2.5,280.0,16,350,1088.88,5.5
13251,3815.4,2.5,210.0,24,350,824.26,5.5
13291,2612.5,2.5,210.0,21,350,727.1,5.5
13331,3099.6875,2.5,361.0,14,350,-490.81,5.5
13341,3099.6875,2.5,191.0,14,350,-490.81,5.5
13351,2087.1794871794873,2.5,200.0,17,350,186.07,5.5
13371,2780.1,2.5,270.0,22,350,243.67,5.5
13401,1934.4086021505377,2.5,200.0,15,350,146.48,5.5
13421,1948.279569892473,2.5,200.0,15,350,150.72,5.5
13561,2464.8,2.5,290.0,26,350,960.06,5.5
13661,4362.705882352941,2.5,324.0,15,350,905.4,5.5
13901,6275.5,2.5,400.0,12,350,-33.22,5.5
13911,6275.5,2.5,400.0,12,350,-33.22,5.5
13951,6247.75,2.5,400.0,9,350,472.93,5.5
13961,6247.75,2.5,150.0,9,350,472.93,5.5
14141,4065.5,2.5,250.0,16,350,1163.01,5.5
14251,5480.666666666667,2.5,400.0,9,350,456.07,5.5
14261,5480.666666666667,2.5,150.0,9,350,456.07,5.5
14291,3974.375,2.5,210.0,26,350,865.97,5.5
14331,3680.4,2.5,220.0,26,350,870.72,5.5
14651,3888.235294117647,2.3,300.0,29,450,1379.92,5.5
14681,4268.166666666667,0.5903333333333334,233.0,15,450,802.59,5.5
14691,5424.48,1.453709677419355,233.0,15,450,534.02,5.5
14711,4062.5,0.5900000000000001,200.0,15,450,744.04,5.5
14721,3533.521126760563,3.3,450.0,27,350,472.02,6.25
14741,3304.705882352941,3.3,450.0,19,350,-1159.96,6.3
14761,3304.705882352941,3.3,450.0,18,350,-1180.46,6.3
14781,3338.8732394366198,3.3,450.0,23,350,369.19,6.25
14801,7611.724137931034,3.73,200.0,15,450,-1008.32,5.5
14811,7611.724137931034,3.73,200.0,15,450,-1008.32,5.5
14941,3637.9310344827586,3.07,200.0,15,450,-454.58,6.09
15021,2924.923076923077,3.0355140186915888,300.0,15,350,-1190.97,5.5
15041,2620.769230769231,3.318181818181818,300.0,15,350,-1410.83,5.5
15061,2925.0,3.0355140186915888,300.0,15,350,-1190.97,5.5
15081,3158.986928104575,3.1419354838709674,300.0,15,350,-1262.25,5.5
15141,3662.777777777778,2.67,430.0,15,350,-780.0,5.5
15151,3060.0,2.66,430.0,15,350,-784.57,5.5
15161,1444.5,2.66,430.0,15,350,-878.14,5.5
15171,3923.0,2.76,430.0,15,350,-815.78,5.5
15181,2446.5,2.62,430.0,15,350,-806.41,5.5
15191,2946.4285714285716,2.8,430.0,15,350,-892.81,5.5
15201,2048.6666666666665,2.22,430.0,15,350,-526.57,5.5
15781,5764.333333333333,2.5,200.0,15,450,1107.97,5.5
16201,3180.0664451827242,2.5,200.0,15,350,1227.33,5.5
16211,3180.0664451827242,2.5,400.0,15,350,1227.33,5.5
16231,3179.87012987013,2.5,200.0,15,350,1227.33,5.5
16241,3179.87012987013,2.5,400.0,15,350,1227.33,5.5
16691,2760.0,2.6153846153846154,120.0,23,350,476.87,5.5
16701,2760.0,2.6153846153846154,200.0,23,350,476.87,5.5
16721,2765.9615384615386,2.3625,120.0,18,350,754.96,5.5
16731,2765.9615384615386,2.3625,200.0,18,350,754.96,5.5
16761,4217.444444444444,2.5964285714285715,272.22,28,450,1296.0,5.5
16831,3014.0,2.745945945945946,272.72,27,450,1704.04,5.5
16901,2882.695652173913,2.371052631578947,260.82,24,450,931.08,5.5
17811,3280.156657963447,2.4,274.16,22,450,1650.92,5.5
17871,6826.818181818182,4.3,450.0,15,450,-1562.35,5.5
17881,6826.818181818182,4.3,300.0,15,450,-1562.35,5.5
17891,6873.913043478261,4.25,340.0,15,450,-1590.2,5.5
17901,6873.913043478261,4.25,300.0,15,450,-1590.2,5.5
17911,2780.5333333333333,1.9448275862068964,180.0,15,450,-253.39,5.5
17921,3200.4545454545455,1.9448275862068964,180.0,15,450,-198.31,5.5
17931,2789.68085106383,3.61,200.0,15,450,-1270.38,5.5
17941,2789.68085106383,3.61,180.0,15,450,-1270.38,5.5
17951,2789.68085106383,3.61,200.0,15,450,-1270.38,5.5
17961,5896.692913385827,2.8476190476190477,180.0,19,450,963.51,5.5
18251,4712.5,2.3,110.0,22,450,406.01,5.5
18261,4712.5,2.3,310.0,22,450,406.01,5.5
18271,4712.5,2.3,100.0,22,450,406.01,5.5
18281,4712.5,2.3,183.0,22,450,406.01,5.5
18291,4712.5,2.3,160.0,22,450,406.01,5.5
18301,4449.6,2.4,100.0,22,450,346.03,5.5
18311,4449.6,2.4,310.0,22,450,346.03,5.5
18321,4449.6,2.4,150.0,22,450,346.03,5.5
18331,4449.6,2.4,170.0,22,450,346.03,5.5
18341,4449.6,2.4,140.0,22,450,346.03,5.5
18351,4859.545454545455,1.8,114.0,21,450,779.56,5.5
18361,4859.545454545455,1.8,315.0,21,450,779.56,5.5
18371,4859.545454545455,1.8,150.0,21,450,779.56,5.5
18381,4859.545454545455,1.8,140.0,21,450,779.56,5.5
18391,4859.545454545455,1.8,170.0,21,450,779.56,5.5
18411,4738.333333333333,2.1,100.0,18,450,499.34,5.5
18421,4738.333333333333,2.1,310.0,18,450,499.34,5.5
18431,4738.333333333333,2.1,145.0,18,450,499.34,5.5
18441,4738.333333333333,2.1,140.0,18,450,499.34,5.5
18451,4738.333333333333,2.1,170.0,18,450,499.34,5.5
18641,1974.7826086956522,4.06,350.0,17,450,-1221.14,5.5
18651,1974.7826086956522,4.06,200.0,17,450,-1221.14,5.5
18661,3251.4,3.5,350.0,19,450,-705.88,5.5
18671,3251.4,3.5,200.0,19,450,-705.88,5.5
19171,4537.820512820513,3.659,230.0,19,450,199.66,5.14
19211,4523.037974683544,3.709000000000001,230.0,20,450,316.35,5.806
19281,4189.909090909091,2.625,230.0,23,450,1035.3,5.075
19321,5031.623931623932,2.823,230.0,18,450,325.0,5.702
19361,3364.967320261438,2.88,260.0,23,450,965.91,6.04
19391,3771.52,2.5,50.0,15,350,1019.7,5.5
19401,3771.52,2.5,600.0,15,350,1019.7,5.5
19421,2577.4117647058824,2.5,50.0,17,350,1296.1,5.5
19431,2577.4117647058824,2.5,600.0,17,350,1296.1,5.5
19451,3540.0,2.845833333333333,200.0,15,350,-195.48,5.5
19461,3540.0,2.845833333333333,350.0,15,350,-195.48,5.5
19471,3540.0,2.845833333333333,150.0,15,350,-195.48,5.5
19481,3662.7884615384614,3.0529411764705885,200.0,15,350,754.39,5.5
19491,3662.7884615384614,3.0529411764705885,350.0,15,350,754.39,5.5
19511,3717.0,2.5821428571428573,350.0,15,350,1094.21,5.5
19531,3540.0,3.1923076923076925,350.0,15,350,631.06,5.5
19551,3268.409090909091,2.6923076923076925,200.0,15,350,991.57,5.5
19561,3268.409090909091,2.6923076923076925,350.0,15,350,991.57,5.5
19581,2957.16814159292,3.5780769036366387,200.0,12,450,13.1,5.5
19611,1538.9705882352941,3.061363636363637,200.0,10,450,-557.02,5.5
19641,1950.5813953488373,3.181578943603917,200.0,15,450,313.0,5.5
19671,2688.36370919287,0.3868888888888889,200.0,19,450,2381.35,5.5
19701,1650.967741935484,3.2058823529411766,175.0,23,450,-403.45,5.5
19711,1650.967741935484,3.2058823529411766,205.0,23,450,-403.45,5.5
19721,1650.967741935484,3.2058823529411766,135.0,23,450,-403.45,5.5
19731,1650.967741935484,3.2058823529411766,151.0,23,450,-403.45,5.5
19741,1650.967741935484,3.2058823529411766,7.0,23,450,-403.45,5.5
19761,3373.809523809524,2.450136363636364,193.0,23,450,266.99,5.5
19771,3373.809523809524,2.450136363636364,208.0,23,450,266.99,5.5
19781,3373.809523809524,2.450136363636364,153.0,23,450,266.99,5.5
19791,3373.809523809524,2.450136363636364,150.0,23,450,266.99,5.5
19811,2042.0,4.0,200.0,20,450,-1210.33,5.5
19821,2042.0,4.0,250.0,20,450,-1210.33,5.5
19831,2042.0,4.0,175.0,20,450,-1210.33,5.5
19841,2919.090909090909,3.1,200.0,23,450,-401.61,5.5
19851,2919.090909090909,3.1,250.0,23,450,-401.61,5.5
19861,2919.090909090909,3.1,175.0,23,450,-401.61,5.5
19871,2919.090909090909,3.1,200.0,23,450,-401.61,5.5
19881,3232.2916666666665,3.4,200.0,26,450,-60.97,5.5
19891,3232.2916666666665,3.4,175.0,26,450,-60.97,5.5
19901,3232.2916666666665,3.4,200.0,26,450,-60.97,5.5
19911,2627.2727272727275,3.4,200.0,22,450,-697.13,5.5
19921,2627.2727272727275,3.4,250.0,22,450,-697.13,5.5
19931,2627.2727272727275,3.4,175.0,22,450,-697.13,5.5
19941,2105.4430379746836,3.3,200.0,23,450,-636.59,5.5
19951,2105.4430379746836,3.3,250.0,23,450,-636.59,5.5
19961,2105.4430379746836,3.3,175.0,23,450,-636.59,5.5
19971,2231.224127735068,3.4,250.0,20,450,-209.26,5.5
19981,2231.224127735068,3.4,175.0,20,450,-209.26,5.5
19991,2231.224127735068,3.4,200.0,20,450,-209.26,5.5
20001,3004.8,3.3,200.0,22,450,-609.78,5.5
20011,3004.8,3.3,250.0,22,450,-609.78,5.5
20021,3004.8,3.3,175.0,22,450,-609.78,5.5
20231,2724.0163934426228,2.66,120.0,24,350,212.07,5.5
20241,2724.0163934426228,2.66,350.0,24,350,212.07,5.5
20251,2724.0163934426228,2.66,240.0,24,350,212.07,5.5
20271,2759.137931034483,2.25,120.0,23,350,525.88,5.5
20281,2759.137931034483,2.25,350.0,23,350,525.88,5.5
20301,2970.0,2.45,120.0,20,350,-501.85,5.5
20311,2970.0,2.45,350.0,20,350,-501.85,5.5
20321,2072.8,2.74,120.0,20,350,-367.94,5.5
20331,2072.8,2.74,350.0,20,350,-367.94,5.5
20351,2245.0,2.88,120.0,20,350,-447.93,5.5
20361,2245.0,2.88,350.0,20,350,-447.93,5.5
20381,2969.879518072289,2.45,120.0,19,350,286.75,5.5
20391,2969.879518072289,2.45,350.0,19,350,286.75,5.5
20401,2969.879518072289,2.45,240.0,19,350,286.75,5.5
20421,3495.3968253968255,2.41,120.0,23,350,420.36,5.5
20431,3495.3968253968255,2.41,350.0,23,350,420.36,5.5
20441,3495.3968253968255,2.41,240.0,23,350,420.36,5.5
20461,2970.0,2.45,120.0,21,350,327.75,5.5
20471,2970.0,2.45,350.0,21,350,327.75,5.5
20481,2970.0,2.45,240.0,21,350,327.75,5.5
20501,1685.0,2.5,120.0,20,350,232.41,5.5
20511,1685.0,2.5,350.0,20,350,232.41,5.5
20531,4907.7192982456145,3.436,300.0,18,450,742.69,5.5
20581,5038.326506729081,2.5,266.0,25,450,1488.34,5.5
20631,4973.421926910299,2.602702702702703,281.36,23,450,1491.18,5.5
20841,2108.2608695652175,2.5,370.0,17,350,1081.32,5.5
20961,3165.0561797752807,2.293846153846154,300.0,10,350,863.47,5.5
21011,3847.222222222222,3.785454545454545,300.0,13,350,-254.38,5.5
21071,1770.0,3.2555555555555555,300.0,12,350,9.29,5.5
21141,3013.9823008849557,2.006896551724138,143.0,23,450,1563.34,5.5
21151,3013.9823008849557,2.006896551724138,257.0,23,450,1563.34,5.5
21171,2443.9024390243903,1.9853658536585368,143.0,18,450,1375.42,5.5
21181,2443.9024390243903,1.9853658536585368,257.0,18,450,1375.42,5.5
21261,4699.857142857143,2.5,250.0,23,450,575.77,5.5
21271,4699.857142857143,2.5,200.0,23,450,575.77,5.5
21281,4699.857142857143,2.5,320.0,23,450,575.77,5.5
21311,5028.315789473684,2.45,250.0,19,450,519.62,5.5
21321,5028.315789473684,2.45,320.0,19,450,519.62,5.5
21331,5028.315789473684,2.45,200.0,19,450,519.62,5.5
21361,5892.413793103448,2.9,250.0,21,450,258.82,5.5
21371,5892.413793103448,2.9,320.0,21,450,258.82,5.5
21381,5892.413793103448,2.9,200.0,21,450,258.82,5.5
21411,4361.6,2.855,250.0,15,450,95.45,5.5
21421,4361.6,2.855,320.0,15,450,95.45,5.5
21431,4361.6,2.855,200.0,15,450,95.45,5.5
21461,4832.9807692307695,2.21,250.0,18,450,682.7,5.5
21471,4832.9807692307695,2.21,200.0,18,450,682.7,5.5
21481,4832.9807692307695,2.21,320.0,18,450,682.7,5.5
21511,3304.6875,2.5,480.0,15,350,823.01,6.7
21531,4148.536585365854,2.5,480.0,22,350,1048.2,6.3
21561,3275.3658536585367,2.5,480.0,23,350,978.31,6.3
21591,3338.9247311827958,2.5,480.0,24,350,1001.64,6.3
21621,4389.375,2.5,480.0,21,350,1050.3,6.7
21651,4778.367346938776,2.33,160.0,11,350,581.15,5.5
21691,4260.0,2.1,160.0,15,350,22.05,5.5
21721,2904.0047405066416,2.2,245.0,23,350,1256.69,5.5
21761,2729.873772791024,3.1,245.0,20,350,525.31,5.5
21801,2730.0527240773285,2.6,245.0,21,350,917.24,5.5
22161,3245.4761904761904,2.15,160.0,21,450,372.01,5.5
22171,3245.4761904761904,2.15,205.0,21,450,372.01,5.5
22181,3245.4761904761904,2.15,142.0,21,450,372.01,5.5
22191,3245.4761904761904,2.15,125.0,21,450,372.01,5.5
22201,3245.4761904761904,2.15,157.0,21,450,372.01,5.5
22211,308.3333333333333,1.85,150.0,27,450,808.53,5.5
22221,308.3333333333333,1.85,172.0,27,450,808.53,5.5
22261,3120.0,2.5,400.0,19,350,1291.91,5.5
22851,2853.0158730158732,2.6387363038714398,250.0,17,350,239.54,6.651935719503285
22881,3682.205882352941,2.60996584605058,250.0,22,350,393.43,6.305998262689277
22911,3414.6363636363635,3.6932432432432423,250.0,18,350,-473.88,6.021621621621621
23001,2660.9473684210525,3.6208333333333336,200.0,11,350,-109.83,5.5
23011,2660.9473684210525,3.6208333333333336,320.0,11,350,-109.83,5.5
23031,4368.0,3.6583333333333337,200.0,14,350,-113.96,5.5
23041,4368.0,3.6583333333333337,320.0,14,350,-113.96,5.5
23061,5049.666666666667,3.6125,200.0,11,350,4.76,5.5
23071,5049.666666666667,3.6125,320.0,11,350,4.76,5.5
23091,2661.0,3.201639344262295,200.0,11,350,201.58,5.5
23101,2661.0,3.201639344262295,320.0,11,350,201.58,5.5
23121,4468.16,3.778688524590164,200.0,14,350,-199.84,5.5
23131,4468.16,3.778688524590164,320.0,14,350,-199.84,5.5
23151,3978.0,3.756666666666667,200.0,13,350,-219.87,5.5
23161,3978.0,3.756666666666667,320.0,13,350,-219.87,5.5
