,Field_Name,Crop_Protection_Application_Doses,Soil_Organic_Matter,Yield_kg_per_Ha,Total_N,Total_P,Total_K,CO2_kg_per_Ha
240,M6I2108,15.0,3.0529411764705885,6363.365384615385,242.0,105.0,155.0,754.39
241,M6I2112,15.0,2.5821428571428573,6517.666666666667,242.0,105.0,35.0,1094.21
242,M6I2114,15.0,2.6923076923076925,5389.886363636364,242.0,105.0,120.0,991.57
243,M7I2147,22.0,2.988888889,7723.823529411765,217.22,157.04,120.0,904.21
244,M7I2148,17.0,1.982222222,6000.0,263.0,156.0,139.8,2003.94
245,M7I2149,15.0,3.2851851850000005,5861.634615384615,217.0,156.0,138.0,486.93
246,M7I2180,17.0,2.23,3918.362068965517,221.6,156.0,120.0,1290.53
247,M6I2116,24.0,2.66,4545.245901639344,204.5,128.0,56.0,212.07
248,M6I2117,23.0,2.25,4856.724137931034,137.0,128.0,56.0,525.88
249,M6I2118,20.0,2.45,5207.6,56.0,128.0,56.0,-501.85
250,M6I2119,20.0,2.74,3466.0,96.5,128.0,56.0,-367.94
251,M6I2120,20.0,2.88,4227.5,96.5,128.0,56.0,-447.93
252,M6I2121,19.0,2.45,5207.831325301205,204.5,56.0,128.0,286.75
253,M6I2122,23.0,2.41,5899.36507936508,204.5,128.0,56.0,420.36
254,M6I2123,21.0,2.45,5208.181818181818,204.5,56.0,128.0,327.75
255,M6I2124,20.0,2.5,3395.714285714286,137.0,128.0,56.0,232.41
256,M7I2109,19.0,2.6,1768.4552845528456,150.8,104.0,108.0,306.89
257,M7I2110,21.0,2.7,2084.205607476636,150.8,104.0,108.0,283.84
258,M7I2111,19.0,3.4,1578.9528795811518,150.8,104.0,108.0,-293.4
259,M7I2112,20.0,2.9,947.4545454545456,150.8,104.0,108.0,78.75
260,M7I2113,20.0,3.1,3600.0,150.8,104.0,108.0,14.22
261,M2I2145,17.0,2.5,4048.0434782608695,230.1,129.5,18.5,1081.32
262,M6I2174,10.0,2.293846153846154,5682.247191011236,198.17000000000002,92.6,120.0,863.47
263,M6I2175,13.0,3.785454545454545,7694.444444444444,184.37,92.6,120.0,-254.38
264,M6I2176,12.0,3.2555555555555555,3540.0,184.59,93.64,168.0,9.29
265,M7I21108,24.0,2.7826666666666666,6588.4,206.44,106.08,90.0,945.65
266,M7I2124,23.0,2.2,5438.200582687275,207.04000000000002,102.68,132.6,1256.69
267,M7I2125,20.0,3.1,5404.768583450211,207.04000000000002,102.68,132.0,525.31
268,M7I2126,21.0,2.6,5404.920913884007,207.04000000000002,102.68,132.0,917.24
269,M6I2162,15.0,2.5,4800.0,121.7,140.4,138.0,155.08
270,M6I21113,19.0,2.5,3721.794871794872,252.8,112.0,64.0,1291.91
271,M7I2137,20.0,2.8705882352941177,8468.058252427185,228.51999999999998,120.64,132.0,1070.86
