Crop_Protection_Application_Doses,Soil_Organic_Matter,N_as_Urea_kg_per_Ha,N_as_Nitrate_kg_per_Ha,N_as_Ammonium_kg_per_Ha,P_as_Phosphorus_kg_per_Ha,P_as_P2O5_kg_per_Ha,K_as_Potassium_kg_per_Ha,K_as_K2O_kg_per_Ha,CO2_kg_per_Ha,Yield_kg_per_Ha
37,2.5,92,0,24.2,0,114.4,0,93,695.54,8528.25
22,2.4,234.83,21.9328,0,76.7648,0,32.8992,36,1650.92,6342.036554
15,4.3,0,109.5,0,67.5,0,114,0,-1562.35,11647.72727
15,4.25,0,90.6,0,85,0,111,0,-1590.2,11672.17391
15,1.944827586,0,16.2,0,88.2,0,0,0,-253.39,7282.533333
15,1.944827586,0,16.2,0,86.4,0,0,0,-198.31,9030.454545
15,3.61,0,106.2,0,88.2,0,120,0,-1270.38,5404.361702
22,2.3,0,211.75,0,86.8,0,90.8,0,406.01,10532.91667
22,2.4,0,219.4,0,86.8,0,84.8,0,346.03,9965.6
21,1.8,0,219.6,1.1,88.2,5.2,93.6,0,779.56,9846.818182
18,2.1,0,217.15,0,86.8,0,84.8,0,499.34,10669.33333
14,2.5,92,0,21.45,0,101.4,0,150,175.9,6973.904762
10,3.797568,181.53,1.335,25.535,0,114.4,0,114,205.23,13901.30952
15,2.95625,182.16,0,0,0,0,0,0,420.3,7194.757696
18,3.742857143,106.72,0,0,0,0,0,120,-707.3,7756.923077
17,4.06,0,208,0,98,0,56,0,-1221.14,4417.826087
19,3.5,0,208,0,98,0,56,0,-705.88,6256.2
15,3.358,110.4,0,0,0,0,0,0,-614.3,4207.333333
8,3.1,154.1,0,0,0,0,0,0,-167.92,4812
13,3.233,165.6,0,0,0,0,0,0,40.92,7957.572816
8,2.823,98.9,0,50.4,0,0,0,0,-44.34,4779.836512
15,3.525,165.6,0,0,0,0,0,0,-155.47,7309.642857
9,2.575,110.4,0,0,0,0,0,88.8,1.82,8027.114428
12,2.45,0,0,22,0,104,0,105,-691.47,2479.25
14,3.911538462,115,0,64,0,104,0,78,-356.59,6908.333333
14,3.832,115,0,64,0,104,0,72,-324.7,6130
12,3.578076904,184,20,0,90,0,0,90,13.1,5760
10,3.061363636,92,20,0,90,0,0,90,-557.02,3331.029412
15,3.181578944,184,20,0,90,0,0,90,313,3987.209302
19,0.386888889,184,20,0,90,0,0,90,2381.35,4939.01462
23,3.205882353,0,220.3,0.77,98.4,3.64,105,0,-403.45,4316.451613
23,2.450136364,0,226,0,99.84,0,115.8,0,266.99,7144.761905
15,2,0,0,19.8,0,93.6,0,0,-247.57,5877.321429
20,4,0,182.5,0,130,0,120,0,-1210.33,4456.4
23,3.1,0,193.75,0,130,0,120,0,-401.61,5512.954545
26,3.4,0,297.5,0,104,0,0,0,-60.97,6593.958333
22,3.4,0,182.5,0,130,0,120,0,-697.13,5286.493506
23,3.3,0,182.5,0,130,0,120,0,-636.59,4212.531646
20,3.4,0,302.5,0,130,0,0,0,-209.26,4831.756357
22,3.3,0,182.5,0,130,0,120,0,-609.78,5704.8
20,2.5,207,0,0,0,0,0,114,1159.53,7325.333333
20,2.5,207,0,0,0,0,0,114,1159.53,7506.470588
18,3.436,195.5,18,30.7482,90,0,30,40.71,742.69,8944.210526
25,2.5,213.9,15.96,0,79.8,0,26.6,49.8,1488.34,9842.598011
23,2.602702703,221.6372,16.8816,0,75.9672,0,28.136,74.58,1491.18,10463.82429
17,2.845090909,0,0,23.1,0,109.2,0,102,-711.77,7658.802395
30,2.5,138,0,22,0,104,0,120,798.82,3934.647887
15,1.95,0,0,30.8,0,145.6,0,138,-1.24,8123.538462
23,2.006896552,207,10.28,0,77.1,0,111.5,0,1563.34,5500
18,1.985365854,200.1,10.28,0,77.1,0,111.5,0,1375.42,4552.682927
23,2.5,82.8,104,0,115,0,104,30,575.77,9615.142857
