,Field_Name,CO2_kg_per_Ha,Crop_Protection_Application_Doses,Soil_Organic_Matter,Yield_kg_per_Ha,Total_N,Total_P,Total_K,Season,Hybrid,Planned_Yield_kg_per_ha
202,M6I20115,750.63,10.0,2.5,6532.359550561798,199.0,90.0,132.0,WINTER,AG9050PRO3,3600.0
203,M6I20116,854.15,14.0,2.5,7361.186440677966,199.0,90.0,120.0,WINTER,AG9050PRO3,3600.0
204,M6I20117,814.24,14.0,2.5,6310.833333333333,197.3,79.8,125.6,WINTER,AG9050PRO3,3600.0
205,M6I20103,-469.06,13.0,2.5,4554.6875,81.5,130.0,120.0,WINTER,DKB363PRO3,3000.0
206,M6I20104,-714.94,11.0,2.5,4720.0,54.0,0.0,120.0,WINTER,DKB363PRO3,3000.0
207,M6I20105,-679.61,12.0,2.5,5190.5,54.0,0.0,120.0,WINTER,DKB363PRO3,3000.0
208,M6I20106,-619.52,15.0,2.5,5149.032258064516,54.0,0.0,120.0,WINTER,DKB363PRO3,3000.0
209,M6I20129,-708.67,15.0,2.5,3658.707482993197,22.0,104.0,0.0,WINTER,DKB363PRO3,3000.0
210,M7I2052,910.12,17.0,2.5,2904.9333333333334,206.66,107.12,120.0,WINTER,DKB265PRO3,3800.0
211,M7I2053,1076.07,18.0,2.5,6827.5,208.86,117.52,120.0,WINTER,AG8700PRO3,4800.0
212,M7I2054,1060.16,17.0,2.5,6970.333333333333,208.86,117.52,120.0,WINTER,AG8700PRO3,4800.0
213,M2I2001,349.85,14.0,2.5,7955.7,170.4,0.0,108.0,WINTER,AS1777PRO3,4800.0
214,M2I2002,488.41,18.0,2.5,8902.285714285714,176.4,0.0,114.0,WINTER,AS1777PRO3,4800.0
215,M2I2003,462.26,20.0,2.5,7622.285714285715,170.4,0.0,108.0,WINTER,AS1777PRO3,4800.0
216,M7I2040,334.79,21.0,2.5,6999.6,100.87,85.04,112.2,WINTER,AG8061PRO2,3500.0
217,M7I2041,352.49,25.0,2.5,4735.714285714285,101.19999999999999,86.60000000000001,123.6,WINTER,AG8061PRO2,3800.0
218,M7I2042,358.37,21.0,2.5,3013.333333333333,114.25999999999999,84.52000000000001,125.4,WINTER,AG8061PRO2,3800.0
219,M7I2043,375.07,21.0,2.5,3551.1428571428573,114.25999999999999,84.52000000000001,124.8,WINTER,AG8061PRO2,3800.0
220,M7I2044,300.12,25.0,2.5,2687.872340425532,103.75999999999999,106.72,118.8,WINTER,DKB265PRO3,4300.0
221,M7I2046,275.9,25.0,2.5,2283.913043478261,101.19999999999999,86.60000000000001,125.4,WINTER,DKB265PRO3,4300.0
222,M7V2001,266.88,21.0,2.672,6693.333333333333,100.1,52.0,120.0,SUMMER,AS1666PRO3,6000.0
