,CO2_kg_per_Ha,Crop_Protection_Application_Doses,Soil_Organic_Matter,N_total_kg_per_Ha,P_total_kg_per_Ha,K_total_kg_per_Ha
352,848.81,22.0,2.7071428571428573,111.2,96.0,90.0
353,995.0,19.0,2.4,111.2,96.0,90.0
354,635.2,17.0,3.046875,156.4,78.4,164.8
355,863.69,15.0,2.5,215.4,108.0,168.0
356,514.75,15.0,3.1,128.0,108.0,162.0
357,580.45,15.0,3.1,128.0,108.0,174.0
358,105.64,9.0,3.540625,191.23,121.16,138.0
359,546.63,10.0,2.8833333333333333,191.23,121.16,138.0
360,436.83,12.0,2.940625,177.21,120.12,138.0
361,1132.28,20.0,2.59,203.58,92.56,102.0
362,947.94,20.0,2.68625,123.24,147.68,90.0
363,330.49,24.0,3.8146874999999993,123.13,147.16,90.0
364,315.95,20.0,3.5370000000000004,123.24,147.68,90.0
365,360.39,19.0,3.5775,123.24,147.68,120.0
366,2525.0,24.0,1.5891891891891892,156.275,131.3,108.0
367,2560.11,21.0,1.5192307692307692,156.495,132.34,108.0
368,1974.12,20.0,2.1115384615384616,142.775,131.3,108.0
369,2562.38,24.0,1.4675675675675677,156.275,131.3,108.0
370,-610.22,15.0,2.7,112.0,86.4,78.0
371,-81.29,15.0,2.66,128.0,86.4,36.0
372,237.95,25.0,2.5,88.0,136.0,88.0
373,373.55,19.0,3.333333333333333,208.1,98.8,90.0
374,470.26,21.0,3.2583333333333337,208.1,98.8,90.0
375,784.98,22.0,2.89375,210.4,98.8,90.0
376,327.29,21.0,3.18125,170.3,98.8,90.0
377,505.31,19.0,2.812903225806452,173.5,98.8,90.0
